"MERIT"	"COMID"	"mean_nit"	"sd_nit"
4	46049274	0.278409080629597	0.0620323630951094
6	63026119	0.245101744921968	0.0729236998558885
4	45083086	0.3169860970258	0.0651905263857193
2	25004770	0.0389044082897421	0.0113229153591025
1	15092384	0.309419035523248	0.090915835548451
4	44038104	0.285205697898581	0.0446319822148605
1	15047463	0.711852081352692	0.203195953469166
3	36006854	0.247160626605594	0.0600300452058995
7	74026524	1.58401622451152	0.306749261800568
4	48022814	0.243188806207507	0.0651832974135593
7	74036368	4.54321769457979	0.676286235727731
2	22044823	0.170457659410048	0.0305076846214836
3	31079172	0.728101527592968	0.161103550649007
4	48005159	1.56228822829992	0.391243960819414
1	16034094	1.17636958353433	0.253899168851324
1	15019679	0.648259916522697	0.165063122952407
2	23009152	7.10619502292154	1.31592274849938
1	15085355	0.752068694546643	0.229691173156426
4	42031150	0.10442642426115	0.0311309650466682
1	12046437	0.2690371451115	0.0700150156821331
5	51003361	0.254181008818816	0.0489920360981864
8	82008292	0.246858388164826	0.0633399388846321
1	15070876	0.726621641525606	0.194631159294814
4	43082675	1.08005617150607	0.22918726229656
1	15121796	0.487317638430018	0.136975625530282
2	22022655	1.4206640364445	0.215474276806248
1	13051728	0.151681993159079	0.0434303657378204
1	12061794	0.104558046075707	0.0294429124606524
4	43059172	0.341400807650729	0.0468272543307366
1	17006375	0.494896757574009	0.16006319538602
4	46000936	0.260609756124428	0.0769384883745652
2	28057426	0.447368588959873	0.149659539687633
7	73007477	0.670013397188159	0.153308785775651
5	56131525	0.411482080740653	0.12863292677038
2	21020225	0.524439921742865	0.133317521492148
1	13061191	0.131852988197921	0.0255736336190067
1	14057079	0.265224596413915	0.0683669584616425
1	11000727	0.499946681898918	0.147858511742924
3	35042398	0.0933962770543067	0.0202298252236411
6	62091083	0.0780399148126668	0.0148416721312768
1	13024192	0.0874584074412974	0.0192342542646012
7	77043283	0.177874286001219	0.0365859850394189
7	72026381	0.0527088730765633	0.0151279441531381
6	62116821	0.0930632811098453	0.0192917488637298
2	29015442	0.559328837678458	0.146429303928216
7	77000566	0.145897786897626	0.0493717587792581
